Job,Promised_Date,Requested_Date,Shipped_Date,Shipped_Quantity,Promised_Quantity,Customer,Description
24-022,2024-06-03 00:00:00,2024-06-03 00:00:00,2024-06-03 00:00:00,1,1,CANNONUSA,(2) SETS LADDERS/HANDRAILS
23-030,2024-05-30 00:00:00,2024-05-30 00:00:00,2024-05-30 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F302)
23-030,2024-05-30 00:00:00,2024-05-30 00:00:00,2024-05-30 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F302)
23-031,2024-05-30 00:00:00,2024-05-30 00:00:00,2024-05-30 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-402)
23-031,2024-05-30 00:00:00,2024-05-30 00:00:00,2024-05-30 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-402)
23-071,2024-05-22 00:00:00,2024-05-22 00:00:00,2024-05-22 00:00:00,1,1,LIOCHEM1,"13,000 GAL STORAGE TANK"
23-036,2024-05-21 00:00:00,2024-05-21 00:00:00,2024-05-21 00:00:00,1,1,ALPHAPET,L1 EXPANSION TANK
23-037,2024-05-21 00:00:00,2024-05-21 00:00:00,2024-05-21 00:00:00,1,1,ALPHAPET,L2 EXPANSION TANK
23-053,2024-05-15 00:00:00,2024-05-15 00:00:00,2024-05-15 00:00:00,1,1,LIOCHEM1,100KL SOLVENT TANK
23-053,2024-05-15 00:00:00,2024-05-15 00:00:00,2024-05-15 00:00:00,1,1,LIOCHEM1,100KL SOLVENT TANK
23-054,2024-05-15 00:00:00,2024-05-15 00:00:00,2024-05-15 00:00:00,1,1,LIOCHEM1,100KL SOLVENT TANK
23-054,2024-05-15 00:00:00,2024-05-15 00:00:00,2024-05-15 00:00:00,1,1,LIOCHEM1,100KL SOLVENT TANK
23-062,2024-05-06 00:00:00,2024-05-06 00:00:00,2024-05-06 00:00:00,1,1,SOLVSPEC,R-4203 WASH VESSEL
24-023,2024-05-03 00:00:00,2024-05-03 00:00:00,2024-05-03 00:00:00,1,1,ROSENBLAD,Rolled Shell Assembly
23-023,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-30 00:00:00,1,1,SYMRISE,R-507 REACTOR
23-023,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-30 00:00:00,1,1,SYMRISE,R-507 REACTOR
23-019,2024-04-19 00:00:00,2024-04-19 00:00:00,2024-04-19 00:00:00,1,1,ZACHGROU,"10,000 GAL HORIZONTAL TANK"
23-019,2024-04-16 00:00:00,2024-04-16 00:00:00,2024-04-18 00:00:00,1,1,ZACHGROU,"10,000 GAL HORIZONTAL TANK"
23-063,2024-04-15 00:00:00,2024-04-15 00:00:00,2024-04-16 00:00:00,1,1,SOLVSPEC,T-4575
23-064,2024-04-15 00:00:00,2024-04-15 00:00:00,2024-04-16 00:00:00,1,1,SOLVSPEC,T-4559
24-007,2024-04-12 00:00:00,2024-04-12 00:00:00,2024-04-12 00:00:00,1,1,BLUEOVAL,REPAIR OF NB #65
24-008,2024-04-12 00:00:00,2024-04-12 00:00:00,2024-04-12 00:00:00,1,1,BLUEOVAL,REPAIR OF 066
23-057,2024-04-08 00:00:00,2024-04-08 00:00:00,2024-04-08 00:00:00,1,1,EPICSYST,TK-300
23-058,2024-04-08 00:00:00,2024-04-08 00:00:00,2024-04-08 00:00:00,1,1,EPICSYST,TK-600
23-059,2024-04-08 00:00:00,2024-04-08 00:00:00,2024-04-08 00:00:00,1,1,EPICSYST,TK-720
23-060,2024-04-08 00:00:00,2024-04-08 00:00:00,2024-04-08 00:00:00,1,1,EPICSYST,V-100
23-061,2024-04-08 00:00:00,2024-04-08 00:00:00,2024-04-08 00:00:00,1,1,EPICSYST,V-120
23-040,2024-04-08 00:00:00,2024-04-08 00:00:00,2024-04-08 00:00:00,1,1,VALMONT,"6,000 GAL STORAGE TANK"
22-065,2024-03-20 00:00:00,2024-03-20 00:00:00,2024-03-20 00:00:00,1,1,NANTRENE,171 M3 PRODUCT SILO
22-065,2024-03-20 00:00:00,2024-03-20 00:00:00,2024-03-20 00:00:00,1,1,NANTRENE,171 M3 PRODUCT SILO
22-098,2024-03-20 00:00:00,2024-03-20 00:00:00,2024-03-20 00:00:00,1,1,KAOSPECI,V-130 REACTANT RECEIVER
23-035,2024-03-14 00:00:00,2024-03-14 00:00:00,2024-03-14 00:00:00,1,1,CYTECIND,T-4922 REPLACEMENT
23-032,2024-03-14 00:00:00,2024-03-14 00:00:00,2024-03-14 00:00:00,1,1,CYTECIND,CAUSTIC STORAGE TANK
23-052,2024-03-06 00:00:00,2024-03-06 00:00:00,2024-03-06 00:00:00,1,1,KOCHMODU,V-1OO COLUMN DECANTER
22-110,2024-03-04 00:00:00,2024-03-04 00:00:00,2024-03-04 00:00:00,1,1,KAOSPECI,V-171 HOT OIL EXPAN. VESSEL
22-110,2024-03-04 00:00:00,2024-03-04 00:00:00,2024-03-04 00:00:00,1,1,KAOSPECI,V-171 HOT OIL EXPAN. VESSEL
22-111,2024-03-04 00:00:00,2024-03-04 00:00:00,2024-03-04 00:00:00,1,1,KAOSPECI,V-172 COLD OIL EXPAN. VESSEL
22-111,2024-03-04 00:00:00,2024-03-04 00:00:00,2024-03-04 00:00:00,1,1,KAOSPECI,V-172 COLD OIL EXPAN. VESSEL
22-112,2024-03-04 00:00:00,2024-03-04 00:00:00,2024-03-04 00:00:00,1,1,KAOSPECI,V-173 HOT OIL TANK
23-014,2024-02-29 00:00:00,2024-02-29 00:00:00,2024-02-29 00:00:00,1,1,REICHHOLD,PHTALIC TANK
23-026,2024-02-28 00:00:00,2024-02-28 00:00:00,2024-02-28 00:00:00,1,1,SOLVSPEC,"10,000 GAL BLEND TANK"
23-026,2024-02-28 00:00:00,2024-02-28 00:00:00,2024-02-28 00:00:00,1,1,SOLVSPEC,"10,000 GAL BLEND TANK"
23-027,2024-02-28 00:00:00,2024-02-28 00:00:00,2024-02-28 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F202)
23-027,2024-02-28 00:00:00,2024-02-28 00:00:00,2024-02-28 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F202)
22-064,2024-02-27 00:00:00,2024-02-27 00:00:00,2024-02-27 00:00:00,1,1,NANTRENE,171 M3 PRODUCT SILO
22-064,2024-02-27 00:00:00,2024-02-27 00:00:00,2024-02-27 00:00:00,1,1,NANTRENE,171 M3 PRODUCT SILO
23-028,2024-02-21 00:00:00,2024-02-21 00:00:00,2024-02-21 00:00:00,1,1,COLOCHEM,R16 RECEIVER
23-029,2024-02-21 00:00:00,2024-02-21 00:00:00,2024-02-21 00:00:00,1,1,COLOCHEM,R17 RECEIVER
23-051,2024-02-21 00:00:00,2024-02-21 00:00:00,2024-02-21 00:00:00,1,1,KOCHMODU,C-100 COLUMN ASSEMBLY
22-063,2024-01-30 00:00:00,2024-01-30 00:00:00,2024-01-30 00:00:00,1,1,NANTRENE,171 M3 PRODUCT SILO
22-101,2024-01-25 00:00:00,2024-01-25 00:00:00,2024-01-25 00:00:00,1,1,KAOSPECI,V-140 M2 FRAC. TOP RECVR
22-095,2024-01-25 00:00:00,2024-01-25 00:00:00,2024-01-26 00:00:00,1,1,KAOSPECI,V-120 TAI REACTOR
22-103,2024-01-25 00:00:00,2024-01-25 00:00:00,2024-01-25 00:00:00,1,1,KAOSPECI,V-146 M2 TOP CUT RECVR
22-104,2024-01-25 00:00:00,2024-01-25 00:00:00,2024-01-25 00:00:00,1,1,KAOSPECI,V-107 DM/M2 RECEIVER
22-105,2024-01-25 00:00:00,2024-01-25 00:00:00,2024-01-25 00:00:00,1,1,KAOSPECI,V-156 DM/M2 MIST SEPARATOR
22-106,2024-01-25 00:00:00,2024-01-25 00:00:00,2024-01-25 00:00:00,1,1,KAOSPECI,V-160 WASTE H2 MIST SEPARATOR
22-107,2024-01-25 00:00:00,2024-01-25 00:00:00,2024-01-25 00:00:00,1,1,KAOSPECI,V-161 WASTE H2 MIST ELIMN.
22-108,2024-01-25 00:00:00,2024-01-25 00:00:00,2024-01-25 00:00:00,1,1,KAOSPECI,V-165 WASTE N2 MIST SEPARATOR
22-109,2024-01-25 00:00:00,2024-01-25 00:00:00,2024-01-25 00:00:00,1,1,KAOSPECI,V-166 WASTE N2 MIST ELIMINATOR
23-014,2024-01-04 00:00:00,2024-01-04 00:00:00,2024-01-04 00:00:00,1,1,REICHHOLD,PHTALIC TANK
23-014,2024-01-04 00:00:00,2024-01-04 00:00:00,2024-01-05 00:00:00,1,1,REICHHOLD,PHTALIC TANK
23-020,2024-01-03 00:00:00,2024-01-03 00:00:00,2024-01-03 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F102)
23-020,2024-01-03 00:00:00,2024-01-03 00:00:00,2024-01-03 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F102)
23-021,2024-01-03 00:00:00,2024-01-03 00:00:00,2024-01-03 00:00:00,1,1,SYMSENGI,NMP WASTE TANK (TK-F103)
23-021,2024-01-03 00:00:00,2024-01-03 00:00:00,2024-01-03 00:00:00,1,1,SYMSENGI,NMP WASTE TANK (TK-F103)
23-018,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,1,1,COLOCHEM,PNTSA CRYSTALIZER
23-103,2023-12-26 00:00:00,2023-12-26 00:00:00,2023-12-26 00:00:00,1,1,GAF11111,SS SKI PLATE
22-063,2023-12-07 00:00:00,2023-12-07 00:00:00,2024-01-30 00:00:00,1,1,NANTRENE,171 M3 PRODUCT SILO
22-100,2023-11-28 00:00:00,2023-11-28 00:00:00,2023-11-28 00:00:00,1,1,KAOSPECI,V-132 50% KOH VESSEL
23-015,2023-11-22 00:00:00,2023-11-22 00:00:00,2023-11-29 00:00:00,1,1,KRATCHEM,T-910 TANK
23-015,2023-11-22 00:00:00,2023-11-22 00:00:00,2023-11-29 00:00:00,1,1,KRATCHEM,T-910 TANK
23-016,2023-11-22 00:00:00,2023-11-22 00:00:00,2023-12-08 00:00:00,1,1,COLOCHEM,M9 MIXING TANK REPLACEMENT
22-062,2023-11-22 00:00:00,2023-11-22 00:00:00,2023-12-07 00:00:00,1,1,NANTRENE,171 M3 PRODUCT SILO
22-062,2023-11-22 00:00:00,2023-11-22 00:00:00,2024-01-30 00:00:00,1,1,NANTRENE,171 M3 PRODUCT SILO
22-094,2023-11-22 00:00:00,2023-11-22 00:00:00,2023-11-28 00:00:00,1,1,KAOSPECI,V-110 PRE-HEATING VESSEL
22-089,2023-11-14 00:00:00,2023-11-14 00:00:00,2023-11-14 00:00:00,1,1,KAOSPECI,V-012 AIR HOLDER-WET
22-090,2023-11-14 00:00:00,2023-11-14 00:00:00,2023-11-14 00:00:00,1,1,KAOSPECI,V-013 AIR HOLDER
22-092,2023-11-08 00:00:00,2023-11-08 00:00:00,2023-11-08 00:00:00,1,1,KAOSPECI,V-102 DMA VESSEL
22-093,2023-11-08 00:00:00,2023-11-08 00:00:00,2023-11-08 00:00:00,1,1,KAOSPECI,V-103 MMA VESSEL
22-102,2023-11-07 00:00:00,2023-11-07 00:00:00,2023-11-07 00:00:00,1,1,KAOSPECI,V-145 CRUDE M2 FEED FLASH VESS
22-099,2023-11-07 00:00:00,2023-11-07 00:00:00,2023-11-07 00:00:00,1,1,KAOSPECI,V-131 CRUDE DM/M2 RECVR
22-096,2023-10-31 00:00:00,2023-10-31 00:00:00,2023-11-01 00:00:00,1,1,KAOSPECI,RXN OIL & WATER SEPARATOR
22-097,2023-10-31 00:00:00,2023-10-31 00:00:00,2023-11-01 00:00:00,1,1,KAOSPECI,V-122 REACTION CYCLONE SEP
22-091,2023-10-31 00:00:00,2023-10-31 00:00:00,2023-11-01 00:00:00,1,1,KAOSPECI,V-100 DMA/MMA DISTILL TOP RECV
23-007,2023-10-31 00:00:00,2023-10-31 00:00:00,2023-11-01 00:00:00,1,1,ZACHGROU,"7,000 GAL HORIZONTAL TANK"
23-007,2023-10-31 00:00:00,2023-10-31 00:00:00,2023-11-03 00:00:00,1,1,ZACHGROU,"7,000 GAL HORIZONTAL TANK"
22-127,2023-10-30 00:00:00,2023-10-30 00:00:00,2023-10-30 00:00:00,1,1,POLYCOMP,T-2 THIN TANK REPLACEMENT
22-127,2023-10-30 00:00:00,2023-10-30 00:00:00,2023-10-31 00:00:00,1,1,POLYCOMP,T-2 THIN TANK REPLACEMENT
22-122,2023-10-25 00:00:00,2023-10-25 00:00:00,2023-10-25 00:00:00,1,1,AJAYNAMER,"6,000 GAL SS ASME STORAGE TK"
22-076,2023-10-05 00:00:00,2023-10-05 00:00:00,2023-10-05 00:00:00,1,1,KOCHMODU,"142"" ID REACTOR (R-200)"
22-076,2023-10-05 00:00:00,2023-10-05 00:00:00,2023-10-05 00:00:00,1,1,KOCHMODU,"142"" ID REACTOR (R-200)"
23-034,2023-10-04 00:00:00,2023-10-04 00:00:00,2023-10-04 00:00:00,1,1,ANDRITZI,3RD EFFECT FOUL CONDENSATE TANK
23-024,2023-09-26 00:00:00,2023-09-26 00:00:00,2023-09-26 00:00:00,1,1,ANDRITZI,1A DOME REPLACEMENT
23-006,2023-09-20 00:00:00,2023-09-20 00:00:00,2023-09-20 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F802)
23-004,2023-09-14 00:00:00,2023-09-14 00:00:00,2023-09-14 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F702)
22-129,2023-09-14 00:00:00,2023-09-14 00:00:00,2023-09-14 00:00:00,1,1,ALPHAPET,HTM DRAIN TANK
23-005,2023-09-07 00:00:00,2023-09-07 00:00:00,2023-09-07 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F602)
23-002,2023-09-05 00:00:00,2023-09-05 00:00:00,2023-09-05 00:00:00,1,1,CANNONUSA,"12,000 GAL CST STORAGE TK #1"
23-002,2023-09-05 00:00:00,2023-09-05 00:00:00,2023-09-05 00:00:00,1,1,CANNONUSA,"12,000 GAL CST STORAGE TK #1"
23-003,2023-09-05 00:00:00,2023-09-05 00:00:00,2023-09-05 00:00:00,1,1,CANNONUSA,"12,000 GAL CST STORAGE TAK"
23-003,2023-09-05 00:00:00,2023-09-05 00:00:00,2023-09-05 00:00:00,1,1,CANNONUSA,"12,000 GAL CST STORAGE TAK"
23-004,2023-08-29 00:00:00,2023-08-29 00:00:00,2023-09-14 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F702)
23-006,2023-08-29 00:00:00,2023-08-29 00:00:00,2023-09-20 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F802)
23-005,2023-08-29 00:00:00,2023-08-29 00:00:00,2023-09-07 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F602)
22-067,2023-08-25 00:00:00,2023-08-25 00:00:00,2023-08-25 00:00:00,0,0,NANTRENE,100 M3 FEED SILO
22-070,2023-08-22 00:00:00,2023-08-22 00:00:00,2023-08-22 00:00:00,1,1,NANTRENE,10 M3 INTERMEDIATE HOPPER
22-070,2023-08-22 00:00:00,2023-08-22 00:00:00,2023-08-22 00:00:00,1,1,NANTRENE,10 M3 INTERMEDIATE HOPPER
22-067,2023-08-22 00:00:00,2023-08-22 00:00:00,2023-08-22 00:00:00,1,1,NANTRENE,100 M3 FEED SILO
22-066,2023-08-21 00:00:00,2023-08-21 00:00:00,2023-08-22 00:00:00,1,1,NANTRENE,100 M3 FINISH PROD SILO
22-126,2023-08-21 00:00:00,2023-08-21 00:00:00,2023-08-21 00:00:00,1,1,SOLVSPEC,VENT SCRUBBER SURGE DRUM
22-071,2023-07-24 00:00:00,2023-07-24 00:00:00,2023-07-24 00:00:00,1,1,NANTRENE,20 M3 CST BUNKER
22-068,2023-07-24 00:00:00,2023-07-24 00:00:00,2023-07-24 00:00:00,1,1,NANTRENE,54 M3 COATING SILO
22-068,2023-07-24 00:00:00,2023-07-24 00:00:00,2023-07-24 00:00:00,1,1,NANTRENE,54 M3 COATING SILO
22-069,2023-07-24 00:00:00,2023-07-24 00:00:00,2023-07-24 00:00:00,1,1,NANTRENE,54 M3 COATING SILO
22-069,2023-07-24 00:00:00,2023-07-24 00:00:00,2023-07-24 00:00:00,0,0,NANTRENE,54 M3 COATING SILO
22-078,2023-07-17 00:00:00,2023-07-17 00:00:00,2023-07-17 00:00:00,1,1,KOCHMODU,"42"" ID DISTILL COLUMN (C-210)"
22-131,2023-06-23 00:00:00,2023-06-23 00:00:00,2023-06-23 00:00:00,1,1,SABIGOLD,LOW GRADE CLEAN GLYCOL TK
22-131,2023-06-23 00:00:00,2023-06-23 00:00:00,2023-06-23 00:00:00,1,1,SABIGOLD,LOW GRADE CLEAN GLYCOL TK
22-132,2023-06-23 00:00:00,2023-06-23 00:00:00,2023-06-23 00:00:00,1,1,SABIGOLD,WASTE ENGINE GLYCOL TK
22-133,2023-06-23 00:00:00,2023-06-23 00:00:00,2023-06-23 00:00:00,1,1,SABIGOLD,FRESH LUBE OIL DAY TANK
22-133,2023-06-23 00:00:00,2023-06-23 00:00:00,2023-06-23 00:00:00,1,1,SABIGOLD,FRESH LUBE OIL DAY TANK
22-135,2023-06-23 00:00:00,2023-06-23 00:00:00,2023-06-23 00:00:00,1,1,SABIGOLD,POT FEEDER #2
22-136,2023-06-23 00:00:00,2023-06-23 00:00:00,2023-06-23 00:00:00,1,1,SABIGOLD,HIGH GRADE EXPANSION TK-A
22-137,2023-06-23 00:00:00,2023-06-23 00:00:00,2023-06-23 00:00:00,1,1,SABIGOLD,HIGH GRADE EXPANSION TK-B
22-138,2023-06-23 00:00:00,2023-06-23 00:00:00,2023-06-23 00:00:00,1,1,SABIGOLD,LOW GRADE EXPANSION TK
22-088,2023-06-22 00:00:00,2023-06-22 00:00:00,2023-06-26 00:00:00,1,1,USSUGARC,LIQUID SUGAR STORAGE TK W/HEAD
22-124,2023-06-21 00:00:00,2023-06-21 00:00:00,2023-06-27 00:00:00,1,1,YESACORP,BG FILTER DECANTER TANK
22-125,2023-06-21 00:00:00,2023-06-21 00:00:00,2023-06-27 00:00:00,1,1,YESACORP,BG FILTER DECANTER TANK
23-033,2023-06-21 00:00:00,2023-06-21 00:00:00,2023-06-23 00:00:00,1,1,SYMRISE,ADD CAGE TO LADDER
22-130,2023-06-16 00:00:00,2023-06-16 00:00:00,2023-06-23 00:00:00,1,1,SABIGOLD,HIGH GRADE CLEAN GLYCOL TK
22-134,2023-06-16 00:00:00,2023-06-16 00:00:00,2023-06-23 00:00:00,1,1,SABIGOLD,POT FEEDER #1
22-079,2023-06-16 00:00:00,2023-06-16 00:00:00,2023-06-19 00:00:00,1,1,KOCHMODU,"36"" OD DECANTER (V-230)"
22-080,2023-06-16 00:00:00,2023-06-16 00:00:00,2023-06-19 00:00:00,1,1,KOCHMODU,"58"" OD DISTILLATE REC (V-240)"
22-081,2023-06-16 00:00:00,2023-06-16 00:00:00,2023-06-19 00:00:00,1,1,KOCHMODU,"30"" OD JET HOTWELL ASMB (T260)"
22-082,2023-06-16 00:00:00,2023-06-16 00:00:00,2023-06-19 00:00:00,1,1,KOCHMODU,"36"" OD COIL VENT FLASH POT (V-200)"
22-078,2023-06-16 00:00:00,2023-06-16 00:00:00,2023-06-19 00:00:00,1,1,KOCHMODU,"42"" ID DISTILL COLUMN (C-210)"
22-132,2023-06-15 00:00:00,2023-06-15 00:00:00,2023-06-23 00:00:00,1,1,SABIGOLD,WASTE ENGINE GLYCOL TK
22-130,2023-06-15 00:00:00,2023-06-15 00:00:00,2023-06-23 00:00:00,1,1,SABIGOLD,HIGH GRADE CLEAN GLYCOL TK
22-120,2023-06-14 00:00:00,2023-06-14 00:00:00,2023-06-14 00:00:00,1,1,KRATCHEM,DOW THERM CONDENSATE TANK
22-119,2023-06-07 00:00:00,2023-06-07 00:00:00,2023-06-07 00:00:00,1,1,WHITFLYE,"20,000 GAL CST STORAGE TANK"
21-153,2023-06-07 00:00:00,2023-06-07 00:00:00,2023-06-07 00:00:00,1,1,ONEACONS,DISTILL. WATCH VESSEL V8540
21-154,2023-06-07 00:00:00,2023-06-07 00:00:00,2023-06-07 00:00:00,1,1,ONEACONS,DISTILL. WATCH VESSEL V8541
22-115,2023-05-25 00:00:00,2023-05-25 00:00:00,2023-05-25 00:00:00,1,1,NEPHNITR,100-TON BULK STORAGE TANK
22-115,2023-05-25 00:00:00,2023-05-25 00:00:00,2023-05-25 00:00:00,1,1,NEPHNITR,100-TON BULK STORAGE TANK
22-116,2023-05-25 00:00:00,2023-05-25 00:00:00,2023-05-25 00:00:00,1,1,NEPHNITR,100-TON BULK STORAGE TANK
22-116,2023-05-25 00:00:00,2023-05-25 00:00:00,2023-05-25 00:00:00,1,1,NEPHNITR,100-TON BULK STORAGE TANK
22-118,2023-05-23 00:00:00,2023-05-23 00:00:00,2023-05-24 00:00:00,1,1,WHITFLYE,"20,000 GAL SS STORAGE TANK"
22-118,2023-05-23 00:00:00,2023-05-23 00:00:00,2023-05-23 00:00:00,1,1,WHITFLYE,"20,000 GAL SS STORAGE TANK"
22-119,2023-05-23 00:00:00,2023-05-23 00:00:00,2023-05-24 00:00:00,1,1,WHITFLYE,"20,000 GAL CST STORAGE TANK"
22-119,2023-05-23 00:00:00,2023-05-23 00:00:00,2023-05-23 00:00:00,1,1,WHITFLYE,"20,000 GAL CST STORAGE TANK"
21-132,2023-05-16 00:00:00,2023-05-16 00:00:00,2023-05-16 00:00:00,1,1,ONEACONS,NITROGEN BUFFER VESSEL V-4201
21-153,2023-05-08 00:00:00,2023-05-08 00:00:00,2023-05-08 00:00:00,1,1,ONEACONS,DISTILL. WATCH VESSEL V8540
21-154,2023-05-08 00:00:00,2023-05-08 00:00:00,2023-05-08 00:00:00,1,1,ONEACONS,DISTILL. WATCH VESSEL V8541
22-085,2023-05-04 00:00:00,2023-05-04 00:00:00,2023-05-04 00:00:00,1,1,WWGAYMEC,6000 GAL SS ACETONE STORAGE TK
22-052,2023-05-01 00:00:00,2023-05-01 00:00:00,2023-05-01 00:00:00,1,1,PINOVAIN,"10,000 GAL SS PEXOIL TANK T304"
22-052,2023-05-01 00:00:00,2023-05-01 00:00:00,2023-05-01 00:00:00,1,1,PINOVAIN,"10,000 GAL SS PEXOIL TANK T304"
22-051,2023-04-17 00:00:00,2023-04-17 00:00:00,2023-04-18 00:00:00,1,1,TELLPROD,"23,000 GAL SS API STORAGE TANK"
22-051,2023-04-17 00:00:00,2023-04-17 00:00:00,2023-04-18 00:00:00,1,1,TELLPROD,"23,000 GAL SS API STORAGE TANK"
22-016,2023-04-17 00:00:00,2023-04-17 00:00:00,2023-04-17 00:00:00,1,1,KRATCHEM,S-1014 PITCH TANK
22-016,2023-04-17 00:00:00,2023-04-17 00:00:00,2023-04-17 00:00:00,1,1,KRATCHEM,S-1014 PITCH TANK
22-113,2023-04-05 00:00:00,2023-04-05 00:00:00,2023-04-06 00:00:00,1,1,NEPHNITR,100-TON BULK STORAGE TANK
22-114,2023-04-05 00:00:00,2023-04-05 00:00:00,2023-04-06 00:00:00,1,1,NEPHNITR,100-TON BULK STORAGE TANK
22-114,2023-04-05 00:00:00,2023-04-05 00:00:00,2023-04-06 00:00:00,1,1,NEPHNITR,100-TON BULK STORAGE TANK
21-113,2023-04-05 00:00:00,2023-04-05 00:00:00,2023-04-06 00:00:00,1,1,NEPHNITR,"2,600 GAL COMPOUND TANK"
22-083,2023-03-30 00:00:00,2023-03-30 00:00:00,2023-03-30 00:00:00,1,1,THIEKAOL,"6,000 GAL SS API STORAGE TK"
22-051,2023-03-28 00:00:00,2023-03-28 00:00:00,2023-03-28 00:00:00,1,1,TELLPROD,"23,000 GAL SS API STORAGE TANK"
22-061,2023-03-28 00:00:00,2023-03-28 00:00:00,2023-03-28 00:00:00,1,1,ZACHGROU,"10,000 GAL HOR. CST ACID TANK"
22-061,2023-03-28 00:00:00,2023-03-28 00:00:00,2023-03-28 00:00:00,1,1,ZACHGROU,"10,000 GAL HOR. CST ACID TANK"
22-055,2023-03-22 00:00:00,2023-03-22 00:00:00,2023-03-22 00:00:00,1,1,CANNONUSA,"10,200 GAL CST PROCESS TANK"
22-054,2023-03-21 00:00:00,2023-03-21 00:00:00,2023-03-22 00:00:00,1,1,CANNONUSA,"10,200 GAL CST PROCESS TANK"
22-033,2023-03-13 00:00:00,2023-03-13 00:00:00,2023-03-13 00:00:00,1,1,FLOQENGI,DBTO RESIDUE BUFFER TANK
23-001,2023-03-03 00:00:00,2023-03-03 00:00:00,2023-03-03 00:00:00,1,1,ANDRITZI,(16) PERFORATED SCREENS
22-086,2023-03-02 00:00:00,2023-03-02 00:00:00,2023-03-02 00:00:00,1,1,CONCRET,CST PRESSURE RELIEF CATCH TK
21-133,2023-02-22 00:00:00,2023-02-22 00:00:00,2023-02-22 00:00:00,1,1,ONEACONS,A CONDENSATE RECVR V-4401
21-134,2023-02-22 00:00:00,2023-02-22 00:00:00,2023-02-22 00:00:00,1,1,ONEACONS,15 PSI FLASH TANK V-4402
22-077,2023-02-15 00:00:00,2023-02-15 00:00:00,2023-02-15 00:00:00,1,1,CYTECIND,BATCH COLUMN RECVR S-14T2
21-148,2023-02-15 00:00:00,2023-02-15 00:00:00,2023-02-15 00:00:00,1,1,ONEACONS,ANHYDRIDE BUFFER VESSEL V7111
21-148,2023-02-13 00:00:00,2023-02-13 00:00:00,2023-02-15 00:00:00,1,1,ONEACONS,ANHYDRIDE BUFFER VESSEL V7111
22-049,2023-02-09 00:00:00,2023-02-09 00:00:00,2023-02-09 00:00:00,1,1,USECLLC1,"26,000 GAL SS SILO"
22-049,2023-02-09 00:00:00,2023-02-09 00:00:00,2023-02-09 00:00:00,1,1,USECLLC1,"26,000 GAL SS SILO"
22-074,2023-02-07 00:00:00,2023-02-07 00:00:00,2023-02-08 00:00:00,1,1,IFFCHEMI,ALLOY 600 PIPE COIL
22-075,2023-02-07 00:00:00,2023-02-07 00:00:00,2023-02-08 00:00:00,1,1,INLIENGI,LINE 5 EXPANSION TANK
22-050,2023-01-31 00:00:00,2023-01-31 00:00:00,2023-01-31 00:00:00,1,1,AURIPOLY,EOV CONDENSATE TANK
22-056,2023-01-25 00:00:00,2023-01-25 00:00:00,2023-01-25 00:00:00,1,1,PISTINDU,8.5' DIA SS HANDRAIL W SAFETY
22-037,2023-01-25 00:00:00,2023-01-25 00:00:00,2023-01-26 00:00:00,1,1,FLOQENGI,FINAL RESIDUE TANK 57M3
22-037,2023-01-25 00:00:00,2023-01-25 00:00:00,2023-01-26 00:00:00,1,1,FLOQENGI,FINAL RESIDUE TANK 57M3
22-038,2023-01-25 00:00:00,2023-01-25 00:00:00,2023-01-26 00:00:00,1,1,FLOQENGI,FINAL RESIDUE TANK 88M3
22-038,2023-01-25 00:00:00,2023-01-25 00:00:00,2023-01-26 00:00:00,1,1,FLOQENGI,FINAL RESIDUE TANK 88M3
22-005,2023-01-24 00:00:00,2023-01-24 00:00:00,2023-01-24 00:00:00,1,1,TELLPROD,"6,000 GAL SS API STORAGE TK"
22-005,2023-01-23 00:00:00,2023-01-23 00:00:00,2023-01-24 00:00:00,1,1,TELLPROD,"6,000 GAL SS API STORAGE TK"
21-142,2023-01-18 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00,1,1,ONEACONS,GAS LIQUID SEPARATOR V6102
21-143,2023-01-18 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00,1,1,ONEACONS,GAS LIQUID SEPARATOR V6202
22-032,2023-01-11 00:00:00,2023-01-11 00:00:00,2023-01-11 00:00:00,1,1,PINOVAIN,HEAT TREATMENT TANK
22-059,2023-01-05 00:00:00,2023-01-05 00:00:00,2023-01-06 00:00:00,1,1,ACTIONEL,"15,000 GAL CST STORAGE TANK"
